# Time t       V(t)           max K(t)       max T(t)       Vcr(t)         Acr(t)         Vion(t)        lambda(t)      P(t)           dP(t, t+dt)    Time lag       
3.86398e-07    14809.3        2.72078        0.0141921      0              0              3.37474e-07    0              0              0              inf            
3.88029e-07    14854.9        2.75184        0.0146715      0              0              3.3989e-07     0              0              0              inf            
3.89654e-07    14900.2        2.78287        0.0151653      0              0              3.42308e-07    0              0              0              inf            
3.91274e-07    14945.4        2.81359        0.0156696      0              0              3.45211e-07    0              0              0              inf            
3.92889e-07    14990.4        2.84598        0.0162184      0              0              3.48056e-07    0              0              0              inf            
3.945e-07      15035.1        2.87692        0.0167595      0              0              3.50758e-07    0              0              0              inf            
3.96106e-07    15079.7        2.90801        0.0173204      0              0              3.53317e-07    0              0              0              inf            
3.97706e-07    15124.1        2.93911        0.0178991      0              0              3.56042e-07    0              0              0              inf            
3.99303e-07    15168.3        2.97017        0.0184952      0              0              3.58688e-07    0              0              0              inf            
4.00894e-07    15212.3        3.00122        0.01911        0              0              3.61233e-07    0              0              0              inf            
4.02481e-07    15256.1        3.03236        0.0197462      0              0              3.64006e-07    0              0              0              inf            
4.04064e-07    15299.7        3.06359        0.0204042      0              0              3.66828e-07    0              0              0              inf            
4.05642e-07    15343.2        3.0941         0.0210673      0              0              3.6953e-07     0              0              0              inf            
4.07215e-07    15386.4        3.12738        0.0218142      0              0              3.72208e-07    0              0              0              inf            
4.08785e-07    15429.5        3.15821        0.0225283      0              0              3.74361e-07    0              0              0              inf            
4.10349e-07    15472.4        3.1892         0.0232689      0              0              3.76945e-07    0              0              0              inf            
4.1191e-07     15515.1        3.22022        0.0240337      0              0              3.7949e-07     0              0              0              inf            
4.13466e-07    15557.7        3.25129        0.0248237      0              0              3.82025e-07    0              0              0              inf            
4.15018e-07    15600.1        3.28247        0.0256415      0              0              3.84586e-07    0              0              0              inf            
4.16565e-07    15642.3        3.31369        0.0264864      0              0              3.87312e-07    0              0              0              inf            
4.18109e-07    15684.3        3.34492        0.0273584      0              0              3.90085e-07    0              0              0              inf            
4.19648e-07    15726.2        3.37613        0.0282572      0              0              3.9242e-07     0              0              0              inf            
4.21183e-07    15767.9        3.40731        0.0291839      0              0              3.9487e-07     0              0              0              inf            
4.22715e-07    15809.4        3.43868        0.030146       0              0              3.97477e-07    0              0              0              inf            
4.24242e-07    15850.8        3.47008        0.0311393      0              0              4.00394e-07    0              0              0              inf            
4.25765e-07    15892          3.50074        0.0321401      0              0              4.02929e-07    0              0              0              inf            
4.27284e-07    15933          3.53222        0.0331998      0              0              4.05464e-07    0              0              0              inf            
4.288e-07      15973.9        3.56636        0.0343874      0              0              4.07477e-07    0              0              0              inf            
4.30311e-07    16014.7        3.59757        0.0355095      0              0              4.10012e-07    0              0              0              inf            
4.31819e-07    16055.3        3.6289         0.0366712      0              0              4.12652e-07    0              0              0              inf            
4.33323e-07    16095.7        3.66023        0.0378703      0              0              4.14845e-07    0              0              0              inf            
4.34823e-07    16135.9        3.69157        0.0391078      0              0              4.18143e-07    0              0              0              inf            
4.36319e-07    16176.1        3.72298        0.0403874      0              0              4.20582e-07    0              0              0              inf            
4.37812e-07    16216          3.75432        0.0417053      0              0              4.23213e-07    0              0              0              inf            
4.39301e-07    16255.8        3.78564        0.0430639      0              0              4.24939e-07    0              0              0              inf            
4.40786e-07    16295.5        3.81708        0.0444711      0              0              4.27188e-07    0              0              0              inf            
4.42268e-07    16335          3.84853        0.0459241      0              0              4.3021e-07     0              0              0              inf            
4.43746e-07    16374.4        3.88015        0.0474316      0              0              4.32449e-07    0              0              0              inf            
4.4522e-07     16413.6        3.91176        0.0489868      0              0              4.35128e-07    0              0              0              inf            
4.46691e-07    16452.7        3.94334        0.0505908      0              0              4.3795e-07     0              0              0              inf            
4.48159e-07    16491.7        3.97491        0.0522455      0              0              4.40103e-07    0              0              0              inf            
4.49623e-07    16530.5        4.00647        0.0539524      0              0              4.42116e-07    0              0              0              inf            
4.51084e-07    16569.1        4.03799        0.0557125      0              0              4.45032e-07    0              0              0              inf            
4.52541e-07    16607.7        4.06957        0.057532       0              0              4.47748e-07    0              0              0              inf            
4.53995e-07    16646.1        4.1004         0.0593646      0              0              4.49816e-07    0              0              0              inf            
4.55446e-07    16684.3        4.1353         0.0615086      0              0              4.51875e-07    0              0              0              inf            
4.56893e-07    16722.4        4.16659        0.063495       0              0              4.54459e-07    0              0              0              inf            
4.58337e-07    16760.4        4.19795        0.0655501      0              0              4.57043e-07    0              0              0              inf            
4.59777e-07    16798.3        4.22929        0.0676683      0              0              4.59864e-07    0              0              0              inf            
4.61215e-07    16836          4.26058        0.0698514      0              0              4.62485e-07    0              0              0              inf            
4.62649e-07    16873.6        4.29195        0.0721093      0              0              4.63353e-07    0              0              0              inf            
4.6408e-07     16911          4.32336        0.0744418      0              0              4.67651e-07    0              0              0              inf            
4.65508e-07    16948.3        4.35469        0.076843       0              0              4.68338e-07    0              0              0              inf            
4.66933e-07    16985.5        4.38613        0.079329       0              0              4.72197e-07    0              0              0              inf            
4.68354e-07    17022.6        4.41757        0.0818943      0              0              4.74506e-07    0              0              0              inf            
